player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
Avesh Khan,70,Bowler,43,0.61,153.57,82,8.75,3,3,25,2.08,166.67,7,8.98,3,30.81,27.92
HV Patel,112,Bowler,270,2.41,112.03,148,8.45,16,15,33,3.3,78.57,11,8.58,2,31.41,31.78
CJ Jordan,34,Bowler,81,2.38,100.0,30,9.3,3,3,53,4.42,110.42,3,10.98,4,28.77,18.52
IR Jaggi,7,All-rounder,76,10.86,76.0,0,0.0,6,0,76,10.86,76.0,0,0.0,6,46.0,11.19
E Lewis,26,Batsman,654,25.15,131.06,0,0.0,62,36,124,17.71,134.78,0,0.0,19,35.87,39.82
MA Wood,5,Bowler,12,2.4,120.0,11,9.07,1,1,12,2.4,120.0,11,9.07,2,37.23,36.57
DJ Bravo,160,Bowler,1560,9.75,125.1,183,8.08,120,66,27,2.7,93.1,11,8.16,3,27.81,32.83
M Markande,37,Bowler,48,1.3,109.09,37,8.8,5,1,38,2.71,102.7,8,10.94,5,23.46,24.19
C Munro,12,All-rounder,177,14.75,122.92,0,7.5,19,8,143,15.89,133.64,0,7.5,24,46.22,36.61
R Ashwin,215,Bowler,812,3.78,113.88,185,7.04,62,28,45,3.75,104.65,5,9.18,5,28.95,23.04
Mujeeb Ur Rahman,20,Bowler,12,0.6,80.0,20,8.08,2,0,12,1.33,80.0,4,9.95,2,28.41,19.97
KL Rahul,129,Batsman,5019,38.91,132.22,0,0.0,426,203,315,52.5,148.58,0,0.0,39,25.47,72.84
Q de Kock,114,Batsman,3303,28.97,131.07,0,0.0,325,134,143,20.43,130.0,0,0.0,20,36.36,41.56
SN Khan,36,Batsman,585,16.25,128.29,0,18.0,63,14,96,12.0,109.09,0,0.0,12,42.05,32.47
AD Russell,130,All-rounder,2543,19.56,162.6,122,9.21,177,213,79,7.9,125.4,11,10.8,14,38.56,31.54
RK Singh,47,Batsman,1026,21.83,137.17,0,0.0,81,52,133,19.0,141.49,0,0.0,20,35.11,46.2
K Khejroliya,8,Bowler,0,0.0,0.0,6,10.14,0,0,0,0.0,0.0,6,10.61,0,26.45,21.47
DJM Short,7,Batsman,115,16.43,112.75,1,7.67,11,5,115,16.43,112.75,0,0.0,16,43.14,34.63
K Gowtham,36,Bowler,247,6.86,155.35,21,8.26,15,17,61,7.62,138.64,3,7.86,7,33.76,22.61
S Gopal,51,Bowler,180,3.53,104.05,52,8.15,19,2,48,4.36,104.35,4,10.88,6,31.08,21.02
B Laughlin,9,Bowler,5,0.56,38.46,10,9.52,0,0,5,0.56,38.46,9,9.49,0,27.89,27.41
TK Curran,13,Bowler,127,9.77,117.59,13,10.29,10,3,122,13.56,125.77,6,9.53,13,25.38,22.83
A Dananjaya,1,All-rounder,4,4.0,80.0,0,11.28,0,0,4,4.0,80.0,0,11.28,0,26.67,21.2
Shubman Gill,107,Batsman,3521,32.91,133.57,0,0.0,343,104,272,38.86,143.16,0,0.0,37,27.37,65.26
Shivam Mavi,32,Bowler,51,1.59,87.93,30,8.37,4,2,29,2.9,87.88,6,9.43,4,36.18,24.64
M Vijay,105,Batsman,2619,24.94,118.61,0,7.95,247,91,167,15.18,106.37,0,0.0,19,40.13,42.87
H Klaasen,41,Batsman,1281,31.24,159.33,0,0.0,84,76,228,32.57,143.4,0,0.0,31,27.04,60.84
RK Bhui,4,All-rounder,10,2.5,37.04,0,0.0,0,0,10,2.5,37.04,0,0.0,0,66.67,3.78
JC Archer,49,Bowler,220,4.49,148.65,57,7.63,11,16,25,2.27,125.0,9,7.28,2,41.45,36.73
LE Plunkett,7,Bowler,1,0.14,33.33,4,8.88,0,0,1,0.14,33.33,4,8.88,0,26.11,19.78
PP Shaw,79,Batsman,1892,23.95,143.22,0,0.0,238,61,155,22.14,161.46,0,0.0,29,36.46,51.44
AD Hales,6,Batsman,148,24.67,124.37,0,0.0,13,6,148,24.67,124.37,0,0.0,19,38.66,47.33
IS Sodhi,8,Bowler,7,0.88,38.89,9,6.73,0,0,7,1.0,38.89,8,6.55,0,39.01,33.87
MK Lomror,37,All-rounder,527,14.24,135.48,1,8.11,33,30,75,5.77,144.23,1,8.25,9,24.14,25.56
M Ashwin,44,Bowler,35,0.8,70.0,35,7.9,2,1,31,2.82,73.81,5,9.06,3,34.97,24.05
L Ngidi,14,Bowler,0,0.0,0.0,25,8.07,0,0,0,0.0,0.0,14,9.99,0,31.84,32.97
KM Asif,7,Bowler,0,0.0,0.0,7,9.73,0,0,0,0.0,0.0,7,9.73,0,33.1,25.45
